base_img,factor,pref_upscaler,pref_mos
01_IMG_9678,x2,Real-ESRGAN,4.0
01_IMG_9678,x4,Real-ESRGAN,3.176470588235294
01_IMG_9832,x2,BSRGAN,4.0
01_IMG_9832,x4,BSRGAN,3.3333333333333335
01_IMG_9943,x2,Real-ESRGAN,4.2
01_IMG_9943,x4,BSRGAN,3.1578947368421053
01_IMG_9988,x2,waifu2x,3.75
01_IMG_9988,x4,Real-ESRGAN,3.2
01_IMG_9996,x2,waifu2x,3.8333333333333335
01_IMG_9996,x4,BSRGAN,3.4210526315789473
02_IMG_0047,x2,BSRGAN,3.4285714285714284
02_IMG_0047,x4,waifu2x,3.1538461538461537
02_IMG_0278,x2,Real-ESRGAN,4.0
02_IMG_0278,x4,Real-ESRGAN,3.25
IMG-20151029-WA0005,x2,Real-ESRGAN,3.9444444444444446
IMG-20151029-WA0005,x4,Real-ESRGAN,3.5294117647058822
IMG-20170508-WA0004,x2,Real-ESRGAN,3.923076923076923
IMG-20170508-WA0004,x4,BSRGAN,3.411764705882353
IMG-20170508-WA0005,x2,Real-ESRGAN,3.857142857142857
IMG-20170508-WA0005,x4,BSRGAN,3.4545454545454546
IMG_0651,x2,waifu2x,3.772727272727273
IMG_0651,x4,Real-ESRGAN,3.7222222222222223
IMG_1665,x2,Real-ESRGAN,3.5555555555555554
IMG_1665,x4,Real-ESRGAN,3.3333333333333335
IMG_20170907_182814017,x2,BSRGAN,3.5833333333333335
IMG_20170907_182814017,x4,Real-ESRGAN,3.2666666666666666
IMG_20180118_122557411,x2,Real-ESRGAN,3.5
IMG_20180118_122557411,x4,Real-ESRGAN,2.6
IMG_20180201_171046026,x2,Real-ESRGAN,3.4444444444444446
IMG_20180201_171046026,x4,Real-ESRGAN,3.1538461538461537
IMG_20180224_212247556,x2,waifu2x,3.6
IMG_20180224_212247556,x4,BSRGAN,3.4615384615384617
IMG_20180225_180057451,x2,BSRGAN,3.888888888888889
IMG_20180225_180057451,x4,Real-ESRGAN,3.4166666666666665
IMG_20190505_194506274_HDR-EFFECTS,x2,Real-ESRGAN,4.125
IMG_20190505_194506274_HDR-EFFECTS,x4,Real-ESRGAN,3.066666666666667
IMG_20190513_210752882,x2,Real-ESRGAN,4.066666666666666
IMG_20190513_210752882,x4,Real-ESRGAN,2.8
IMG_20190517_142525721-EFFECTS,x2,Real-ESRGAN,4.083333333333333
IMG_20190517_142525721-EFFECTS,x4,BSRGAN,3.6
IMG_20190531_214259013,x2,Real-ESRGAN,4.0
IMG_20190531_214259013,x4,Real-ESRGAN,3.375
IMG_20190604_212833103,x2,Real-ESRGAN,4.0
IMG_20190604_212833103,x4,BSRGAN,3.875
IMG_20190831_145604539,x2,BSRGAN,3.9285714285714284
IMG_20190831_145604539,x4,Real-ESRGAN,3.25
IMG_20190901_161832305,x2,Real-ESRGAN,3.8125
IMG_20190901_161832305,x4,Real-ESRGAN,3.066666666666667
IMG_20191031_173218684,x2,BSRGAN,3.8823529411764706
IMG_20191031_173218684,x4,Real-ESRGAN,3.5625
IMG_20191101_115229045,x2,Real-ESRGAN,4.2
IMG_20191101_115229045,x4,Real-ESRGAN,2.9375
IMG_20191130_131452287_HDR,x2,Real-ESRGAN,3.6470588235294117
IMG_20191130_131452287_HDR,x4,BSRGAN,3.1333333333333333
IMG_20191130_144510482,x2,Real-ESRGAN,4.066666666666666
